,id,brand,car_model,type,desc,problem,datetime,status
0,490161,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享进取型,一汽大众奥迪Q5L发动机故障灯常亮,"A34,",2020-07-01,信息审核
1,490160,东风标致,标致207,2011款 1.4 手动 驭乐版 两厢,东风标致207一挡起步踩油门时离合器打滑,"C16,",2020-07-01,信息审核
2,490159,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机死机黑屏要求更换硬件,"H155,M279,",2020-07-01,信息审核
3,490156,上汽大众,Polo,2018款 1.5L 自动 安驾型,上汽大众Polo转向异响希望厂家处理问题,"D59,",2020-07-01,信息审核
4,490155,长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7车辆尾灯减配变速箱换挡闯挡,"B19,M279,Q350,",2020-07-01,信息审核
5,490154,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机卡顿死机要求更换硬件,"H155,M279,",2020-07-01,信息审核
6,490153,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级后出现卡顿黑屏,"O348,",2020-07-01,信息审核
7,490152,广汽三菱,欧蓝德,2019款 2.4L 两驱 致行版 5座 国V,广汽三菱欧蓝德中控台刹车异响严重,"E43,H93,",2020-07-01,信息审核
8,490151,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳车灯透镜通透性差车灯亮度不足,"H82,",2020-07-01,信息审核
9,490147,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级措施不到位,"O348,",2020-07-01,信息审核
10,490146,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机系统升级后未能解决问题,"O348,",2020-07-01,信息审核
11,490145,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统升级后死机卡顿,"O348,",2020-07-01,信息审核
12,490144,MINI,MINI,2018款 1.5T ONE 五门版,MINI涡轮增压器再次异响厂家不予保修,"A9,A189,I297,",2020-07-01,信息审核
13,490143,东风雷诺,科雷傲,2018款 2.0L 两驱 120周年限量版,东风雷诺科雷傲行驶过程中车内有低频嗡嗡声,"H164,",2020-07-01,信息审核
14,490142,骐铃汽车,骐铃T7,2018款 2.0T PLUS 两驱 豪华版 标准轴距 4K21D4T,江铃骐铃T7发动机和SVS故障灯亮动力不足,"A34,A163,A114,",2020-07-01,信息审核
15,490140,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统升级后卡顿未解决	,"O348,",2020-07-01,信息审核
16,490139,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机硬件厂家未提供解决方案,"I295,",2020-07-01,信息审核
17,490138,吉利新能源,星越新能源,2019款 改款 400T 耀星者 纯电动续航56KM,吉利星越新能源车机卡顿死机版本与宣传不符,"H155,M279,",2020-07-01,信息审核
18,490137,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国V,一汽大众探岳前大灯透镜出现白色雾气,"H82,",2020-07-01,信息审核
19,490134,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机软件升级后卡顿希望厂家处理,"O348,",2020-07-01,信息审核
20,490133,众泰汽车,众泰T700,2017款 2.0T 双离合 豪华型,众泰T700转向助力失效4S店服务态度恶劣,"D156,D112,H168,I295,I293,I294,I282,K307,N318,",2020-07-01,信息审核
21,490132,吉利汽车,星越,2019款 350T AWD 驭星者,吉利星越车机系统升级后卡顿死机现象未解决,"O348,",2020-07-01,信息审核
22,490131,长城汽车,哈弗H2,2016款 1.5T 手动 两驱豪华型,哈弗H2离合器踏板弹簧无法回位车辆再次启动,"C16,",2020-07-01,信息审核
23,490130,吉利汽车,星越,2019款 350T 耀星者,吉利星越升级车机后依然卡顿要求更换硬件,"O348,",2020-07-01,信息审核
24,490128,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机软件升级后比之前卡顿更严重,"H155,M279,",2020-07-01,信息审核
25,490127,一汽-大众,宝来,2017款 1.6L 手动 舒适型,一汽大众宝来左前大灯开裂 升降开关脱落,"H168,H220,",2020-07-01,信息审核
26,490125,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级后仍然出现卡顿	,"O348,",2020-07-01,信息审核
27,490123,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统死机卡顿升级后问题更严重,"O348,",2020-07-01,信息审核
28,490122,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越升级车机系统后还是有卡顿现象,"O348,",2020-07-01,信息审核
29,490120,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动发动机存在异响,"A9,",2020-07-01,信息审核
0,490116,观致汽车,观致5,2018款 1.6T 自动 尊贵型,观致5中控无故黑屏希望厂家尽快解决,"H134,",2020-07-01,信息审核
1,490114,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,吉利缤越车机系统黑屏死机升级承诺不兑现,"H155,L314,",2020-07-01,信息审核
2,490111,吉利汽车,博越,2016款 2.0L 手动 两驱 智尚型,吉利博越变速箱异响车辆跑偏气囊报警,"B33,G117,H103,J298,",2020-07-01,信息审核
3,490110,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机软件进行升级硬件未处理,"O348,",2020-07-01,信息审核
4,490109,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机卡顿升级后未解决要求升级硬件,"L314,",2020-07-01,信息审核
5,490107,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机升级系统后依然出现卡顿黑屏,"H155,O348,",2020-07-01,信息审核
6,490106,吉利汽车,帝豪GS,2019款 1.5TD DCT 动 260T,吉利帝豪GS空调压缩机制冷时噪音大车内异响,"H101,H164,",2020-07-01,信息审核
7,490105,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统升级后依旧黑屏卡顿,"H155,O348,",2020-07-01,信息审核
8,490104,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞前挡风玻璃处出现裂痕,"H113,",2020-07-01,信息审核
9,490100,上汽通用五菱,五菱荣光小卡,2019款 1.5L 基本型 单排 L3C 国VI,上汽通用五菱荣光小卡发动机支架螺丝断裂,"A145,",2020-07-01,信息审核
10,490098,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机升级后多功能方向盘按键失灵,"O348,",2020-07-01,信息审核
11,490094,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机系统升级后出现死机,"O348,",2020-07-01,信息审核
12,490093,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统升级后死机严重,"O348,",2020-07-01,信息审核
13,490092,一汽-大众奥迪,奥迪Q5,2016款 40 TFSI 技术型,一汽大众奥迪Q5发动机节温器漏防冻液,"A37,",2020-07-01,信息审核
14,490091,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机升级后死机卡顿严重,"O348,",2020-07-01,信息审核
15,490090,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁车身抖动 邓禄普轮胎开裂	,"F100,H268,",2020-07-01,信息审核
16,490088,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机卡顿死机系统版本与宣传不符	,"H155,M279,",2020-07-01,信息审核
17,490087,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机升级后卡顿要求更换车机,"H155,L313,O348,",2020-07-01,信息审核
18,490086,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机系统升级后比之前还卡,"H155,O348,",2020-07-01,信息审核
19,490085,长安跨越,跨越王X1,2018款 1.2L 标准型 单排 后双轮 加长货箱 LJ469Q-AEB,长安跨越王X1新车车身倾斜4S店不予处理,"G83,I295,J298,O305,O324,",2020-07-01,信息审核
20,490083,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8引擎盖生锈4S店出售库存车,"H79,M283,",2020-07-01,信息审核
21,490082,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机进行系统升级后还是卡顿,"O348,",2020-07-01,信息审核
22,490081,上汽通用五菱,宝骏560,2016款 1.5T 手动 精英型,上汽通用五菱宝骏560马牌轮胎出现裂痕,"F100,",2020-07-01,信息审核
23,490080,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机升级后依旧有卡顿黑屏现象,"O348,",2020-07-01,信息审核
24,490076,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机系统升级后依然卡顿死机,"H155,",2020-07-01,信息审核
25,490068,吉利汽车,星越,2019款 350T 驭星者,吉利星越车机系统升级后卡滞严重,"H155,O348,",2020-07-01,信息审核
26,490066,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机升级后依然卡顿 雨刮抖动,"H155,H60,O348,",2020-07-01,信息审核
27,490065,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际氛围灯与宣传不符厂家不予解决,"I295,I294,M279,",2020-07-01,信息审核
28,490064,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机死机黑屏要求厂家兑现承诺,"H155,M279,",2020-07-01,信息审核
29,490062,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机升级后依然卡顿要求处理,"O348,",2020-07-01,信息审核
0,490061,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机软硬件总成调包以次充好,"O348,",2020-07-01,信息审核
1,490060,长安汽车,长安欧尚X7,2020款 1.5T 自动 豪华型,长安欧尚X7车辆尾灯功能不全与宣传不符,"M279,",2020-07-01,信息审核
2,490054,众泰汽车,云100,2014款 云100 舒适型,众泰云100动力电池故障无配件4S店不处理,"H343,I295,I281,N318,",2020-07-01,信息审核
3,490052,吉利汽车,帝豪,2015款 1.5L CVT 向上版 三厢,吉利帝豪变速箱换挡机构故障无法断电,"B96,B184,",2020-07-01,信息审核
4,490051,吉利汽车,星越,2019款 300T 耀星者,吉利星越升级车机后依然卡顿无法彻底解决,"O348,",2020-07-01,信息审核
